taxid	species
28108	Alteromonas macleodii
28109	Pseudoalteromonas nigrifaciens
28116	Bacteroides ovatus
28141	Cronobacter sakazakii
28152	Yersinia kristensenii
28169	Vibrio pelagius
28172	Vibrio metschnikovii
28174	Vibrio ordalii
283734	Staphylococcus pseudintermedius
283923	Pseudoxanthomonas kaohsiungensis
28447	Clavibacter michiganensis
28448	Komagataeibacter xylinus
28450	Burkholderia pseudomallei
284570	Microbacterium natoriense
287	Pseudomonas aeruginosa
288	Pseudoalteromonas atlantica
28901	Salmonella enterica
291644	Bacteroides salyersiae
292	Burkholderia cepacia
292800	Flavonifractor plautii
29303	Streptantibioticus cattleyicolor
29378	Staphylococcus arlettae
29380	Staphylococcus caprae
29382	Staphylococcus cohnii
29385	Staphylococcus saprophyticus
29388	Staphylococcus capitis
294	Pseudomonas fluorescens
29442	Pseudomonas tolaasii
29447	Xanthomonas albilineans
29449	Rhizobium etli
29459	Brucella melitensis
29461	Brucella suis
29471	Pectobacterium atrosepticum
29484	Yersinia frederiksenii
29486	Yersinia ruckeri
29497	Vibrio splendidus
29498	Vibrio tubiashii
29506	Leptospira inadai
29549	Rhodothermus marinus
29581	Janthinobacterium lividum
297	Hydrogenophilus thermoluteolus
299767	Enterobacter ludwigii
303	Pseudomonas putida
305	Ralstonia solanacearum
314275	Alteromonas mediterranea
315405	Streptococcus gallolyticus
316	Stutzerimonas stutzeri
317	Pseudomonas syringae
31943	Brevibacterium iodinum
319939	Metapseudomonas otitidis
32002	Achromobacter denitrificans
328814	Alistipes shahii
329	Ralstonia pickettii
329854	Bacteroides intestinalis
33008	Rhodococcus globerulus
33060	Yersinia mollaretii
337	Burkholderia glumae
339	Xanthomonas campestris
33903	Streptomyces avermitilis
33905	Bifidobacterium thermophilum
33918	Microbacterium maritypicum
33932	Sutcliffiella cohnii
33940	Geobacillus thermodenitrificans
33946	Kurthia gibsonii
33959	Lactobacillus johnsonii
33968	Leuconostoc pseudomesenteroides
33987	Exiguobacterium aurantiacum
34	Myxococcus xanthus
34006	Paracoccus thiocyanatus
34007	Paracoccus versutus
34021	Candidatus Liberibacter asiaticus
34085	Riemerella anatipestifer
34103	Sphaerotilus natans
343	Xanthomonas translucens
346	Xanthomonas citri
347	Xanthomonas oryzae
35703	Citrobacter amalonaticus
357276	Phocaeicola dorei
358	Agrobacterium tumefaciens
361101	Streptococcus pseudoporcinus
362	Agrobacterium radiobacter
367190	Yersinia similis
36746	Pseudomonas cichorii
36809	Mycobacteroides abscessus
36822	Gordonia rubripertincta
36823	Gordonia sputi
36855	Brucella canis
371601	Bacteroides xylanisolvens
37326	Nocardia brasiliensis
37328	Nocardia carnea
37330	Nocardia nova
37332	Nocardia seriolae
37333	Nocardia transvalensis
375	Bradyrhizobium japonicum
37919	Rhodococcus opacus
37927	Sinomonas atrocyanea
380021	Pseudomonas protegens
381	Mesorhizobium loti
382	Sinorhizobium meliloti
38305	Corynebacterium vitaeruminis
38307	Gluconobacter cerinus
384	Rhizobium leguminosarum
384678	Paracoccus sulfuroxidans
39122	Skermania pinensis
396	Rhizobium phaseoli
39960	Erythrobacter litoralis
40214	Acinetobacter johnsonii
40324	Stenotrophomonas maltophilia
410332	Gordonia malaquae
413497	Cronobacter dublinensis
413502	Cronobacter turicensis
413503	Cronobacter malonaticus
41899	Burkholderia plantarii
42858	Mammaliicoccus lentus
43080	Saccharolobus islandicus
43263	Aquipseudomonas alcaligenes
43666	Paeniglutamicibacter sulfureus
43767	Prescottella equi
438	Acetobacter pasteurianus
439219	Streptococcus henryi
442694	Xanthomonas perforans
443616	Rheinheimera soli
444515	Maribacter forsetii
456327	Xanthomonas euvesicatoria
45634	Streptococcus cristatus
45972	Staphylococcus pasteuri
462991	Vibrio hangzhouensis
46503	Parabacteroides merdae
46677	Pseudomonas agarici
470	Acinetobacter baumannii
470868	Achromobacter marplatensis
470932	Pantoea deleyi
471	Acinetobacter calcoaceticus
47678	Bacteroides caccae
47715	Lacticaseibacillus rhamnosus
47770	Lactobacillus crispatus
47853	Micromonospora carbonacea
47885	Pseudomonas oryzihabitans
47886	Pseudomonas luteola
47917	Serratia fonticola
47951	Vibrio cyclitrophicus
480	Moraxella catarrhalis
48296	Acinetobacter pittii
48664	Xanthomonas fragariae
487316	Acinetobacter soli
